Sentence,Global Reporting Initiative,Integrated Reporting,Task Force on Climate-related Financial Disclosure
"Responsible 
energyShell pic
Sustainability 
Report
2022
#PoweringProgress",0.6560794115066528,0.18616536259651184,0.1577552855014801
"Contents
Sustainability at Shell Powering lives
02 Letter from the CEO 46 Our approach to powering lives
04 Powering Progress 46 Cost of living crisis
05 Our approach to sustainability 46 Providing access to energy
09 About this report 47 Working with our suppliers
49 Contributing to communities
Our core values52 Diversity, equity and inclusion
12 Business ethics and transparency53 Worker welfare
14 Our response to the war in Ukraine54 Respecting human rights
15 Safety55 Managing our impact on people
Achieving net-zero emissionsGenerating shareholder value
22 Energy transition59 Our business activities
25 Managing greenhouse gas emissions60 Producing oil and natural gas
32 Providing lower-carbon electricity61 Embedding sustainability into our activities
34 Fuelling mobility62 Non-operated ventures
36 Driving innovation62 Acquisitions and divestments
Respecting natureOur performance data
38 Our approach to respecting nature64 About our data
38 Environmental collaborations65 Our standards and policies
39 Protecting biodiversity66 Our Powering Progress targets
40 Circular economy and waste68 Safety data
42 Conserving water resources71 Greenhouse gas and energy data
44 Air quality78 Other environmental data
82 Social data
Read the Shell Sustainability Report online at 
www.shell.com/sustainabilityreport 
or download our app:Digital
The Sustainability Report is published in an 
online version at www.shell.com/ 
sustainabilityreport.",0.7386280298233032,0.16479429602622986,0.09657769650220871
"The online version 
includes additional information, such as an 
interactive GRI index to enhance usability for 
the reader.",0.5469666719436646,0.28833845257759094,0.1646948754787445
"In the event of any discrepancy 
between the online and hardcopy versions, 
the information contained in the online report 
prevails.",0.5715100169181824,0.22704876959323883,0.20144122838974
"This hardcopy version is provided for 
the reader's convenience only.Design and production:
Friend www.friendstudio.com
Implementation: nexxar www.nexxar.com",0.36976611614227295,0.35375285148620605,0.2764810025691986
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Sustainability at Shell
Welcome to the Shell Sustainability Report, which covers our 
social, safety and environmental performance in 2022.",0.7513055801391602,0.16333073377609253,0.08536367863416672
"It also 
sets out our strategy to transition our business to net-zero
01 Shell Sustainability Report 2022",0.7431499361991882,0.1418885737657547,0.11496151238679886
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Letter from the CEO
Russia's invasion of Ukraine has caused huge suffering.",0.5758306384086609,0.21897384524345398,0.2051955610513687
It has also triggered instability in global energy markets and other sectors.,0.4279797673225403,0.2893422842025757,0.28267794847488403
"Energy and 
food prices have risen, causing inflation to spiral in many countries.",0.5564368963241577,0.2882291376590729,0.1553339660167694
Our first response to the invasion was to safeguard our staff in Ukraine and support our people in Russia.,0.6181714534759521,0.27830299735069275,0.10352551192045212
"We also announced our intention to 
withdraw from our Russian oil and gas activities in a phased manner, aligned with government guidance.",0.509270966053009,0.2706467807292938,0.22008222341537476
"We worked with organisations in 
Ukraine and neighbouring countries to provide humanitarian aid.",0.7299770712852478,0.19696857035160065,0.07305436581373215
"By the end of 2022, we had donated $74 million to help the people of 
Ukraine.",0.5412544012069702,0.3467790186405182,0.11196661740541458
"As the war caused disruption to energy supplies, we worked to ensure that people received the energy they need to keep economies running 
and electricity flowing.",0.4896787703037262,0.36312296986579895,0.14719830453395844
"This included delivering a record 194 cargoes of liquefied natural gas (LNG) to Europe in 2022 - almost five times our 
usual average.",0.49375119805336,0.38248372077941895,0.12376507371664047
"I am proud of the way Shell staff in the UK and Norway, among many others, also stepped up to produce the oil and gas Europe 
needs.",0.5414966940879822,0.3371813893318176,0.12132184952497482
We provided help for those struggling with the rising cost of living.,0.5521909594535828,0.2841149866580963,0.16369403898715973
"In the UK, for example, we announced a £50 million package to support 
vulnerable energy consumers, and donated millions of pounds to charities to help households pay their energy bills.",0.5743368864059448,0.3061302602291107,0.11953286826610565
"And in the Netherlands, we 
are contributing to a government-backed emergency fund for the same purpose.",0.5827859044075012,0.220881849527359,0.19633232057094574
"The recent devastating earthquakes in Turkey and Syria affected many Shell people and their families, although mercifully no staff were injured.",0.5708799958229065,0.22426225244998932,0.20485779643058777
"Shell has supported relief efforts with the provision of fuel, and chemicals to make foam mattresses and hand sanitiser.",0.655957043170929,0.1866782158613205,0.15736472606658936
"We have also made aid 
donations worth several million dollars, including matching donations made by our staff around the world.",0.7012727856636047,0.18842501938343048,0.11030222475528717
"Balanced transition
The energy and cost of living crises have highlighted the need for a balanced energy transition: one in which the world achieves net-zero 
emissions, while still providing a secure and affordable supply of energy.",0.4889151155948639,0.3377619981765747,0.1733228713274002
We expect that LNG will play an important role in such a transition.,0.38718897104263306,0.3834831416606903,0.22932787239551544
"It 
provides a critical supply of energy today, and it produces fewer greenhouse gas emissions than coal when used to generate electricity.",0.4536329209804535,0.3239813446998596,0.22238574922084808
"In 2022, we made significant investments to increase production of LNG and reduce emissions from the process.",0.4990496039390564,0.32775598764419556,0.17319436371326447
"We joined two major projects in 
Qatar, for example.",0.596679151058197,0.2204826921224594,0.18283815681934357
"Both will use carbon capture and storage, helping us to offer customers LNG with a lower carbon footprint.",0.479885995388031,0.31764325499534607,0.20247073471546173
"We also took a 
final investment decision to develop the Rosmari-Marjoram gas project in Malaysia, which will be mainly powered by renewable energy.",0.44729095697402954,0.37052398920059204,0.18218502402305603
"Net-zero emissions
As we invest in the energy needed today, our target to become a net-zero emissions energy business by 2050 remains at the heart of our 
strategy.",0.3865707814693451,0.35846826434135437,0.25496095418930054
We are making good progress.,0.3705080449581146,0.33031970262527466,0.2991722524166107
"By the end of 2022, we had reduced carbon emissions from our operations by 30% compared with 
2016 on a net basis, more than halfway towards our target of a 50% reduction by 2030.",0.4058486223220825,0.36624473333358765,0.22790665924549103
"We have also made progress in supporting our customers in reducing their own emissions, with further investments in wind, solar, biofuels, 
hydrogen, electric vehicle charging, carbon capture and storage and nature-based solutions.",0.4290662705898285,0.3759109675884247,0.19502268731594086
